,평균 수온(°C)
2021-03-16,11.3
2021-03-17,11.0
2021-03-18,13.0
2021-03-19,13.8
2021-03-20,13.9
2021-03-21,13.7
2021-03-22,13.5
2021-03-23,14.2
2021-03-24,14.5
2021-03-25,14.7
2021-03-26,15.1
2021-03-27,15.2
2021-03-28,15.4
2021-03-29,15.5
2021-03-30,15.3
2021-03-31,15.3
2021-04-01,15.3
2021-04-02,15.3
2021-04-03,14.4
2021-04-04,13.6
2021-04-05,13.5
2021-04-06,14.6
2021-04-07,14.9
2021-04-08,15.2
2021-04-09,14.6
2021-04-10,14.7
2021-04-11,14.8
2021-04-12,14.9
2021-04-13,15.0
2021-04-14,14.5
2021-04-15,14.6
2021-04-16,14.4
2021-04-17,14.5
2021-04-18,14.3
2021-04-19,15.0
2021-04-20,15.5
2021-04-21,16.5
2021-04-22,16.6
2021-04-23,16.1
2021-04-24,16.6
2021-04-25,16.3
2021-04-26,16.1
2021-04-27,15.8
2021-04-28,15.7
2021-04-29,15.8
2021-04-30,15.2
2021-05-01,15.1
2021-05-02,15.0
2021-05-03,15.5
2021-05-04,16.2
2021-05-05,16.1
2021-05-06,16.1
2021-05-07,15.8
2021-05-08,16.0
2021-05-09,16.9
2021-05-10,16.6
2021-05-11,16.9
2021-05-12,16.7
2021-05-13,17.4
2021-05-14,17.0
2021-05-15,16.7
2021-05-16,16.6
2021-05-17,15.7
2021-05-18,16.3
2021-05-19,17.4
2021-05-20,17.2
2021-05-21,16.8
2021-05-22,17.1
2021-05-23,18.0
2021-05-24,18.3
2021-05-25,17.7
2021-05-26,17.3
2021-05-27,17.4
2021-05-28,17.1
2021-05-29,17.6
2021-05-30,17.9
2021-05-31,18.2
