,평균 수온(°C)
2016-01-01,14.4
2016-01-02,15.6
2016-01-03,15.3
2016-01-04,15.3
2016-01-05,15.1
2016-01-06,15.8
2016-01-07,15.4
2016-01-08,15.0
2016-01-09,15.3
2016-01-10,15.4
2016-01-11,15.4
2016-01-12,15.9
2016-01-13,15.7
2016-01-14,15.5
2016-01-15,15.4
2016-01-16,15.0
2016-01-17,14.8
2016-01-18,14.6
2016-01-19,14.1
2016-01-20,14.8
2016-01-21,14.7
2016-01-22,13.8
2016-01-23,13.5
2016-01-24,13.0
2016-01-25,12.7
2016-01-26,12.3
2016-01-27,12.3
2016-01-28,12.5
2016-01-29,11.7
2016-01-30,11.7
2016-01-31,11.5
2016-02-01,8.9
2016-02-02,8.9
2016-02-03,10.8
2016-02-04,10.6
2016-02-05,11.0
2016-02-06,10.9
2016-02-07,11.1
2016-02-08,10.3
2016-02-09,7.4
2016-02-10,8.1
2016-02-11,10.7
2016-02-12,11.0
2016-02-13,11.5
2016-02-14,11.4
2016-02-15,10.7
2016-02-16,10.6
2016-02-17,10.5
2016-02-18,10.6
2016-02-19,10.5
2016-02-20,10.9
2016-02-21,10.4
2016-02-22,10.9
2016-02-23,10.4
2016-02-24,10.7
2016-02-25,10.649999999999999
2016-02-26,10.6
2016-02-27,10.7
2016-02-28,10.7
2016-02-29,10.4
2016-03-01,10.2
2016-03-02,10.1
2016-03-03,10.3
2016-03-04,10.6
2016-03-05,11.5
2016-03-06,11.2
2016-03-07,11.2
2016-03-08,11.0
2016-03-09,10.6
2016-03-10,11.1
2016-03-11,11.9
2016-03-12,11.4
2016-03-13,11.4
2016-03-14,10.8
2016-03-15,10.7
2016-03-16,11.2
2016-03-17,11.4
2016-03-18,11.6
2016-03-19,11.6
2016-03-20,11.8
2016-03-21,11.6
2016-03-22,13.0
2016-03-23,12.9
2016-03-24,12.7
2016-03-25,12.7
2016-03-26,12.9
2016-03-27,12.7
2016-03-28,12.9
2016-03-29,13.3
2016-03-30,13.8
2016-03-31,13.6
2016-04-01,14.4
2016-04-02,13.3
2016-04-03,13.2
2016-04-04,12.9
2016-04-05,13.1
2016-04-06,13.3
2016-04-07,13.8
2016-04-08,14.9
2016-04-09,14.2
2016-04-10,14.0
2016-04-11,14.7
2016-04-12,14.6
2016-04-13,14.1
2016-04-14,13.7
2016-04-15,13.0
2016-04-16,12.7
2016-04-17,12.7
2016-04-18,13.0
2016-04-19,13.0
2016-04-20,13.2
2016-04-21,11.8
2016-04-22,11.6
2016-04-23,11.7
2016-04-24,11.8
2016-04-25,12.7
2016-04-26,13.1
2016-04-27,11.8
2016-04-28,11.6
2016-04-29,11.5
2016-04-30,12.1
2016-05-01,12.8
2016-05-02,13.1
2016-05-03,12.5
2016-05-04,12.4
2016-05-05,13.1
2016-05-06,12.9
2016-05-07,13.6
2016-05-08,14.4
2016-05-09,14.3
2016-05-10,14.0
2016-05-11,13.4
2016-05-12,13.5
2016-05-13,13.6
2016-05-14,14.3
2016-05-15,14.0
2016-05-16,13.7
2016-05-17,14.8
2016-05-18,15.2
2016-05-19,16.4
2016-05-20,17.9
2016-05-21,18.4
2016-05-22,18.0
2016-05-23,18.2
2016-05-24,17.8
2016-05-25,18.1
2016-05-26,19.0
2016-05-27,18.6
2016-05-28,19.3
2016-05-29,19.5
2016-05-30,19.7
2016-05-31,19.8
2016-06-01,20.0
2016-06-02,20.7
2016-06-03,20.1
2016-06-04,20.2
2016-06-05,19.4
2016-06-06,19.4
2016-06-07,20.5
2016-06-08,20.9
2016-06-09,20.8
2016-06-10,20.6
2016-06-11,20.3
