order,MAPE,MAE,MSE,RMSE,R2
"(15, 30, 15, 700, 0.0001)",2.340819872915745,0.40640748,0.2730724,0.5225633,0.3988134387803197
"(30, 30, 15, 1000, 0.0001)",3.1415872275829315,0.5283029,0.45495492,0.67450345,0.2977283894177891
"(30, 30, 15, 400, 0.0001)",2.3196183145046234,0.39388663,0.24787055,0.497866,0.617385231743538
"(60, 90, 5, 700, 0.0001)",10.189243406057358,1.6416688,3.3896816,1.8411088,-1.446324648375159
