order,MAPE,MAE,MSE,RMSE,R2
"(30, 30, 15, 700, 0.0001)",3.231041133403778,0.54614586,0.49800405,0.705694,0.23127743005855395
"(90, 30, 5, 1000, 0.0001)",26.905477046966553,4.1423078,19.97664,4.4695234,-3.822951181006487
